_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
3,013E014U,Giochi24 S.r.l.,Gestori di Pubblici Servizi,error,,,,,low,0,0,0
4,01X13U84,IC 1 G. MARCONI-DIANO,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,13,13,9
6,02IKT4NA,SAN LEO 2000 SERVIZI TURISTICI SRL,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,31,36,50
7,02ZMKEL0,CESENATICO SERVIZI S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,17,10,8
8,03YBQ4C7,Ordine provinciale della professione sanitaria di fisioterapista di Siena,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap,high,19,9,24
9,044QEGSD,G.A.L. Montagne Biellesi soc.cons. a r.l.,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Bootstrap,high,71,10,91
10,048X8EU7,BITRIGAS SRL,Gestori di Pubblici Servizi,ok,WordPress,ASP.NET,WordPress,Elementor,high,15,26,10
11,04UY8I1H,Istituto Comprensivo Statale TITO LIVIO - FIORELLI,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,12,35
12,054,Azienda Unita' Sanitaria Locale Umbria 1,Pubbliche Amministrazioni,ok,WordPress,"jQuery,React",WordPress,Bootstrap Italia,high,28,14,33
13,055,Azienda Unita' Sanitaria Locale Umbria 2,Pubbliche Amministrazioni,ok,ASP.NET,jQuery,,,high,11,4,15
14,056,Azienda Unita' Sanitaria Locale Viterbo,Pubbliche Amministrazioni,ok,,Laravel,,,low,10,5,1
15,058,Azienda Sanitaria Locale Roma 5,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Elementor,high,40,56,9
16,05GYSWFH,Fondazione di partecipazione Casa dell'Ospitalità,Societa' in Conto Economico Consolidato,ok,WordPress,,WordPress,Elementor,high,25,30,10
17,05O3YE9M,IIS C. COLOMBO,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
18,05O9EJDW,CAPITALE LAVORO SPA,Stazioni Appaltanti,ok,Drupal,,Drupal,Bootstrap,high,33,64,6
19,05TY94LO,MONZA MOBILITA' S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,21,33,32
20,07WB8QXR,DOGRE S.R.L.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap,high,1,3,5
21,080,Azienda Sanitaria Provinciale N. 5 di Reggio Calabria,Pubbliche Amministrazioni,ok,,jQuery,,Bootstrap Italia,low,7,5,4
22,085AGQ61,"Istituto Comprensivo ""F.U. della Torre - Livio Verni""",Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,11,10,3
23,08RQFFO1,"ISTITUTO COMPRENSIVO ""RITA LEVI MONTALCINI""",Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,11,34,22
24,092,ARNAS G. Brotzu,Pubbliche Amministrazioni,ok,,,,,low,5,3,0
25,093,Azienda Sanitaria Friuli Occidentale,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,8,6,14
26,0AIQ5Z0T,Servizi Ambientali Provincia di Rieti s.r.l.,Stazioni Appaltanti,ok,WordPress,,WordPress,"Elementor,Bootstrap",high,18,23,10
28,0BLX4BBP,INVESTIMENTI SPA,Stazioni Appaltanti,ok,WordPress,"Drupal,React,jQuery",WordPress,Elementor,high,27,52,52
29,0D7QKFH5,PARCAM SERVIZI S.R.L.,Stazioni Appaltanti,ok,,"React,jQuery",,Bootstrap Italia,low,16,2,9
30,0DWK5DFK,LICEO UMBERTO BOCCIONI,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,12,12,2
31,0E843YSW,FONDAZIONE ISTITUTO TECNICO SUPERIORE PER LE NUOVE TECNOLOGIE PER IL MADE IN ITALY LA FILIERA AGROALIMENTARE RISORSA PER LO SVILUPPO DELLA LOMBARDIA,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Elementor,high,45,44,15
32,0FDQX1EL,Fondazione Istituto di Ricerca Tecnopolo Mediterraneo per lo Sviluppo Sostenibile,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Elementor,high,31,55,11
34,0HD8JCF4,ORDINE DEI BIOLOGI DELLA TOSCANA E DELL'UMBRIA ,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,4,1,7
35,0IIBJU7X,GAN ENERGIA,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,9,9,12
38,0LWWUVBK,Azienda Casa Emilia Romagna della Provincia di Reggio Emilia,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Elementor,high,27,22,10
40,0N7FO552,"Fondazione Serics Security and Rights in Cyber Space,",Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,Elementor,high,16,17,23
42,0PH5RCJW,Consorzio per l' Area di Sviluppo Industriale di Taranto,Stazioni Appaltanti,ok,WordPress,,WordPress,,high,9,6,7
43,0PYATICV,"P.T.P. ""GRIMALDI-PACIOLI-PETRUCCI-F.M.""",Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,17,9,32
44,0Q81OFDZ,CFI - COOPERAZIONE FINANZA IMPRESA,Gestori di Pubblici Servizi,ok,,,,,low,4,3,0
45,0QBSMAW1,FITSTIC Fondazione Istituto Tecnico Superiore Tecnologie e Industrie Creative,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,21,4,20
46,0SGNV76C,GEROPA SRL,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,23,16,32
47,0T2GMPK6,I.L.V.C. (IMPIANTI ELETTRICI) S.R.L.,Gestori di Pubblici Servizi,ok,,,,,low,0,0,0
48,0TAQ7B02,milano serravalle engineering,Stazioni Appaltanti,ok,,"jQuery,React,WordPress",,Bootstrap,low,31,14,49
49,0TK07ISH,"ISTITUTO COMPRENSIVO ""AMEDEO D'AOSTA""",Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,,high,8,2,15
50,0UE9CQ9Y,Scuole Civiche di Milano Fondazione di partecipazione,Stazioni Appaltanti,ok,,"React,Alpine.js,jQuery",,Bootstrap,low,22,11,22
52,0W0FXX80,FONDO DI ROTAZIONE A GESTIONE SEPARATA C/O ENTE SVILUPPO AGRICOLO,Pubbliche Amministrazioni,ok,,"Laravel,jQuery",,Bootstrap Italia,low,1,1,4
53,0WCM8EAW,SERVIZI IDRICI ETNEI SPA,Gestori di Pubblici Servizi,ok,,"React,jQuery",,Bootstrap,low,4,6,10
54,0WPRWL10,MERCOGLIANO SERVIZI AZIENDA SPECIALE,Gestori di Pubblici Servizi,ok,,"React,jQuery",,Bootstrap,low,7,7,16
55,0XEC4X1B,UNIONE DEI COMUNI CITTA' DELLA MAIELLA,Pubbliche Amministrazioni,ok,Laravel,"React,WordPress,jQuery",,Bootstrap Italia,medium,5,3,16
56,0YNSXWD5,ENERGIA VERDE ED IDRICA SPA,Gestori di Pubblici Servizi,ok,,jQuery,,Bootstrap,low,4,15,7
57,102,Azienda Sanitaria Provinciale di Vibo Valentia,Pubbliche Amministrazioni,ok,,,,,low,0,1,0
58,109B2JPX,TRE ESSE ITALIA SRL,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Bootstrap,high,36,26,55
59,10KC4JL1,SANTA LUCIA FIERE,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,97,8,119
60,111WOAN5,Istituto Comprensivo Ciampino I - V. Bachelet,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,13,13,9
61,11B2JNFL,A.T.E.R. DELLA PROVINCIA DI VICENZA,Gestori di Pubblici Servizi,ok,,,,Bootstrap Italia,low,2,6,2
62,13WYVHQO,ECOENNASERVIZI SRL UNIPERSONALE,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,19,8,24
63,15U5YKAC,SOCIETA' ACQUEDOTTO VALLE DEL LAMONE SRL,Gestori di Pubblici Servizi,ok,,,,,low,1,1,0
64,15UTHMTL,TERME PREMIA SRL VALLI ANTIGORIO DIVEDRO E FORMAZZA,Stazioni Appaltanti,ok,,jQuery,,Bootstrap,low,11,6,15
65,15ZKCDR0,ISTITUTO COMPRENSIVO ANIELLO CRISCUOLO,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,10,35
66,16IODWCU,ISONTINA AMBIENTE SRL,Gestori di Pubblici Servizi,ok,,,,Bootstrap,low,5,4,1
68,1B2LU14W,ATC ESERCIZIO SPA,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap,high,26,20,9
69,1C8SJSJP,"Centro Nazionale di Ricerca in High Performance Computing, Big Data and Quantum Computing",Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,21,10,31
70,1CMVL,Comunita' Montana Valle del Liri Zona XV,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap,high,13,13,8
71,1FG1N2LG,PATRIMONIO CITTA' DI SETTIMO TORINESE SRL ,Stazioni Appaltanti,error,,,,,low,0,0,0
74,1JRW5QXG,"ISTITUTO COMPRENSIVO STATALE ""GIOVANNI FALCONE e PAOLO BORSELLINO - FRANCESCO CARELLI""",Pubbliche Amministrazioni,ok,Joomla,"React,jQuery",Joomla,Bootstrap,medium,28,16,33
75,1K9JKE4Y,AMIU Genova SPA,Stazioni Appaltanti,ok,Joomla,,Joomla,,high,12,9,3
76,1KG9Y6D4,ADE S.p.A.,Stazioni Appaltanti,ok,WordPress,,WordPress,Elementor,high,36,13,6
77,1KUZ447N,Fondazione Istituto Tecnologico Superiore Academy Terra di Lavoro - TE.LA.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,14,7,7
78,1MF1PZD3,Consorzio di bonifica Piave,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,85,12,110
79,1MPXMKGE,COMMISSARIO DELEGATO STRAORDINARIO EMERGENZA COVID-19 - REGIONE SICILIANA,Pubbliche Amministrazioni,error,,,,,low,0,0,0
80,1NQCFG5W,AZIENDA SERVIZI MUNICIPALIZZATI SRL,Stazioni Appaltanti,ok,ASP.NET,"React,jQuery",,Bootstrap,medium,3,3,8
81,1NXXKA3W,FONDAZIONE ISTITUTO TECNICO SUPERIORE GREEN ENERGY PUGLIA,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,51,42,78
82,1OASUY2U,IC S.MARCO - BONITO - COSENZA,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,15,15,9
83,1ODBWQ8Z,ORDINE DEI DOTTORI COMMERCIALISTI E DEGLI ESPERTI CONTABILI DI VELLETRI,Pubbliche Amministrazioni,ok,WordPress,React,WordPress,,high,2,2,8
84,1P25K07V,Federazione Italiana Nuoto,Stazioni Appaltanti,ok,,,,,low,10,2,1
85,1P3G1MD5,FARMACAP,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,Elementor,high,21,44,39
86,1PMKZZPT,Fondazione ITS Academy JOBSFACTORY - Lombardia,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,27,16,7
87,1QMBM9KB,Istituto Tecnico G.Marconi L.Pilla,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,,high,3,2,12
88,1R25HBXU,CONSORZIO DI BONIFICA 1 TRAPANI,Stazioni Appaltanti,ok,WordPress,"ASP.NET,React,jQuery",WordPress,Bootstrap Italia,high,17,19,38
89,1R9VQFM0,Consorzio di Bonifica Alta Pianura Veneta,Stazioni Appaltanti,error,,,,,low,0,0,0
91,1T08N3AZ,AZIENDA SPECIALE MULTISERVIZI VIGEVANO,Stazioni Appaltanti,ok,Joomla,,Joomla,Bootstrap Italia,high,8,4,3
92,1TCBA2KR,Società Intercomunale Servizi Idrici S.r.l.,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,30,18,43
93,1TDVNB2B,IC OUTSOURCING S.C.R.L.,Stazioni Appaltanti,ok,WordPress,"Drupal,React,jQuery",WordPress,Elementor,high,31,34,40
94,1TISW5ZN,Consorzio di Bonifica A Sud di Anagni,Gestori di Pubblici Servizi,ok,,"React,jQuery",,Bootstrap,low,5,4,13
95,1TPZT8B2,I.C. DE AMICIS BARACCA,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
96,1UMEMOPN,Azienda Casa Emilia Romagna della Provincia di Ravenna,Gestori di Pubblici Servizi,ok,,,,Bootstrap Italia,low,13,5,2
97,1VO9PWVQ,"RAM Rete Autostrade Mediterranee per la Logistica, le Infrastrutture ed i Trasporti S.p.a.",Societa' in Conto Economico Consolidato,ok,Drupal,jQuery,Drupal,,high,4,2,14
99,1YI8V232,CBL DISTRIBUZIONE SRL,Gestori di Pubblici Servizi,ok,ASP.NET,,,,medium,1,2,2
100,1YY999AI,ISTITUTO SUPERIORE VITTORIO DE CAPRARIIS,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,10,35
101,1Z6GFCFA,ISTITUTO COMPRENSIVO MARTOGLIO,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,3,6,2
102,1ZEHMGHD,"Istituto Comprensivo ""A. Manzoni""",Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
104,1ZPNFOZP,Mea S.p.a.,Gestori di Pubblici Servizi,ok,ASP.NET,jQuery,,Bootstrap,high,5,8,14
105,20FCHW7B,AZIENDA SPECIALE CARLENTINI,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,2,1,7
106,20IURH3M,I.C. S.CIRO-DE AMICIS-PIO XII,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,10,35
107,217XZ2VA,iSTITUTO COMPRENSIVO G. PASCOLI,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,13,13,9
108,219TJPHO,Croce Rossa Italiana - Comitato di Latina - Organizzazione di Volontariato,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,"Elementor,Bootstrap",high,20,37,10
109,21M650RW,AZIENDA FARMACEUTICA MUNICIPALIZZATA DI CREMA ,Gestori di Pubblici Servizi,ok,WordPress,"Joomla,jQuery",WordPress,Bootstrap,high,21,22,34
111,21W263TE,"ISTITUTO ISTRUZIONE SUPERIORE ""I. E V. FLORIO"" ERICE",Pubbliche Amministrazioni,error,,,,,low,0,0,0
112,23QSUC3X,SRT SPA SOCIETA' PUBBLICA PER RECUPERO E TRATTAMENTO RIFIUTI,Stazioni Appaltanti,ok,,"Vue,jQuery,React",,Bootstrap Italia,low,13,5,20
113,245FNRH5,AGRI-CAT S.R.L.,Gestori di Pubblici Servizi,ok,Next.js,"Nuxt,Vue,React,jQuery",,,medium,3,1,11
115,25BSWEKR,I.I.S.S LISIDE F.S CABRINI,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,16,9,31
116,28B1JW1G,CTM S.P.A.,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,Bootstrap,high,25,24,34
117,28WXF4F1,Salerno Pompei Napoli S.p.A.,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,,high,13,11,13
118,2A85YKMU,S.I.S.A.M. S.P.A.,Stazioni Appaltanti,error,,,,,low,0,0,0
119,2BLMCDR6,Azienda Trasporti Milanesi,Gestori di Pubblici Servizi,ok,ASP.NET,,,,high,10,7,3
120,2BLS82OD,JESISERVIZI SRL,Gestori di Pubblici Servizi,ok,Liferay,"React,jQuery",Liferay,Bootstrap Italia,high,7,7,20
121,2CD2IUF8,"Liceo ""G. B. Vico""",Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,24,12,34
122,2CYUF4OU,Società Autostrade Alto Adriatico S.p.A.,Societa' in Conto Economico Consolidato,ok,WordPress,,WordPress,,high,17,10,7
123,2EFDYO1W,Le Serre Srl,Societa' in Conto Economico Consolidato,ok,,jQuery,,Bootstrap,low,8,6,11
124,2EG4IZK1,Azienda Casa Emilia - Romagna della Provincia di Rimini,Gestori di Pubblici Servizi,ok,,,,,low,6,4,0
125,2FATC529,Senigallia Servizi,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,27,20,36
126,2FE009RQ,AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DI TRIESTE,Gestori di Pubblici Servizi,ok,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
127,2FF8D5S2,CATANIA MULTISERVIZI SPA,Stazioni Appaltanti,ok,,,,,low,23,7,0
128,2HA2I22L,CEM AMBIENTE SPA,Gestori di Pubblici Servizi,ok,,,,,low,1,0,0
129,2IVU9LJG,ISTITUTO DI ISTRUZIONE SUPERIORE LUZZATI-DEAMBROSIS-NATTA,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
130,2J459ZOC,FONDAZIONE ARTEA,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,25,20,40
132,2JEE5H6J,FONDAZIONE ISTITUTO TECNICO SUPERIORE PER LE NUOVE TECNOLOGIE PER IL MADE IN ITALY - JOBSACADEMY,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,27,16,7
133,2KZ74LLK,ISTITUTO COMPRENSIVO GIOVANNI XXIII-MORO,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,11,10,16
134,2LP4NWTB,MERCAFIR SCPA,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,,high,24,34,38
135,2LUUWYB7,MILLERIVOLI SRL,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,7,10,17
136,2M053FUA,PORT SECURITY S.R.L. società unipersonale,Stazioni Appaltanti,ok,,,,,low,6,0,0
137,2M9NZFR2,AMBITO TERRITORIALE DI CACCIA N. 3,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,4,5,6
138,2N6F7AT3,Acque Pubbliche Savonesi S.c.p.A.,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Bootstrap,high,4,2,9
139,2NGFCWZO,F.A.P. AUTOSERVIZI S.P.A.,Gestori di Pubblici Servizi,error,,,,,low,0,0,0
141,2OYCYTVM,Comitato Organizzatore dei Campionati Internazionali di Canottaggio Varese ,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,,high,15,14,22
142,2POFUSZD,AMBIENTE E TECNOLOGIA SRL,Stazioni Appaltanti,ok,WordPress,,WordPress,Bootstrap Italia,high,23,7,7
143,2Q3P0F1M,Ordine della Professione Sanitaria di Fisioterapista di Palermo e Trapani,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap,high,19,10,24
144,2QR9KMNO,SOCIETA' FERROVIE UDINE CIVIDALE S.R.L.,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,,high,27,18,42
145,2QTJX32V,PUNTOZERO S.C.A. R.L.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap Italia,high,19,25,10
146,2R3HRI01,ITS Apulia Digital Maker,Gestori di Pubblici Servizi,ok,,,,,low,0,0,0
149,2UCZLMB1,Consorzio Irriguo di Chivasso,Stazioni Appaltanti,ok,,"React,jQuery",,,low,4,3,9
150,2US6PK0U,Ordine dei Periti Industriali e Periti Industriali Laureati della Provincia di Crotone,Pubbliche Amministrazioni,ok,WordPress,,WordPress,,high,36,19,6
151,2WTZ8MT1,"CONSERVATORIO DI MUSICA ""B. MADERNA -G. LETTIMI"" DI CESENA E RIMINI",Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,,high,7,4,16
153,2Y1NXHIH,I. C. SAN GIOVANNI BOSCO - GIORDANI,Pubbliche Amministrazioni,ok,WordPress,Joomla,WordPress,Bootstrap Italia,high,6,2,6
154,2YNKW2LR,Artemedia Srl,Gestori di Pubblici Servizi,ok,,,,,low,7,3,0
155,2YOQHVIP,AZIENDA RIFIUTI ALESSANDRINA SPA,Stazioni Appaltanti,ok,WordPress,,WordPress,,high,39,22,7
156,2Z7G71Y3,"AMBITO TERRITORIALE DI CACCIA ""B"" PROVINCIA DI MATERA",Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,21,9,4
158,34D70TTH,Fon.Coop,Stazioni Appaltanti,ok,WordPress,"React,jQuery",WordPress,"Bootstrap,Elementor",high,38,59,66
159,34QPYWJ0,Fondazione Istituto Tecnico Superiore Maria Gaetana Agnesi Tech & Innovation Academy,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,Elementor,high,36,34,51
160,34WTOIJ0,PARCAM SRL CON SOCIO UNICO,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,"Bootstrap,Elementor",high,8,15,23
161,354G06HD,TradeLab S.p.A.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Elementor,high,32,44,9
162,35EC5V1A,Ordine interprovinciale della professione sanitaria di Fisioterapista di Parma e Piacenza,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap,high,19,9,24
163,35GVD3QF,Azienda Multiutility Acqua Gas SPA,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,26,19,41
164,35L7OZCL,I.I.S. DI PASCA-FORTUNATO,Pubbliche Amministrazioni,ok,ASP.NET,"React,jQuery",,Bootstrap Italia,medium,24,7,26
165,35OYU5O6,ISTITUTO DI ISTRUZIONE SUPERIORE CARLO MATTEUCCI,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,21,10,34
167,38WHGZZB,TOSCANA AEROPORTI ENGINEERING SRL,Stazioni Appaltanti,ok,React,,,,high,1,1,5
168,392P3CJB,Adriafer S.r.l.,Stazioni Appaltanti,ok,WordPress,jQuery,WordPress,,high,14,14,20
170,3BEP4ZAX,COMUNE DI MORANSENGO-TONENGO,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,3,6,6
171,3CRB3CUM,Fermo Asite SrlU,Gestori di Pubblici Servizi,ok,WordPress,"jQuery,React",WordPress,,high,20,19,34
172,3EYJH0BU,AZIENDA SOCIO SANITARIA LOCALE N. 5 DI ORISTANO,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,19,9,8
173,3FZOB8MI,Seab servizi energia ambiente Bolzano S.p.A.,Gestori di Pubblici Servizi,ok,Drupal,"React,jQuery",Drupal,Bootstrap,high,64,60,87
174,3FZT9K8P,"Ordine interprovinciale della professione sanitaria di fisioterapista di Caltanissetta, Agrigento e Enna",Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap,high,19,9,24
175,3HCVQGVQ,CONSORZIO DI BONIFICA CENTRO SUD PUGLIA,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,,high,25,14,8
176,3I9VYT5F,FONDAZIONEARENA DI VERONA,Stazioni Appaltanti,ok,,,,,low,7,2,2
177,3IMS74Z9,SOLIDALIA AZIENDA SPECIALE CONSORTILE PER I SERVIZI ALLA PERSONA ,Gestori di Pubblici Servizi,ok,Drupal,,Drupal,Bootstrap Italia,high,37,34,6
179,3JN4ZMWH,AZIENDA SPECIALE CASA DI RIPOSO DON MOSCHETTA,Stazioni Appaltanti,ok,,"React,jQuery",,,low,5,3,7
180,3JPPAJDM,GRUPPO DI AZIONE LOCALE ISC MADONIE,Gestori di Pubblici Servizi,ok,Joomla,"React,jQuery",Joomla,Bootstrap,high,20,20,28
181,3KAFLSAH,"Camera di commercio, industria, artigianato e agricoltura di Brindisi-Taranto",Pubbliche Amministrazioni,ok,Drupal,,Drupal,,high,49,4,4
182,3KCOWSBJ,RETI S.R.L.,Stazioni Appaltanti,ok,WordPress,"Drupal,React,jQuery",WordPress,"Elementor,Bootstrap",high,25,21,51
183,3KJ3AED2,ISTITUTO COMPRENSIVO CARDUCCI,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,,high,3,2,13
184,3KO8VIGW,Acque spa,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap,high,20,16,9
185,3KQC0ABI,ITS ACADEMY CAMPANIA HITECH & COMMUNICATION,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,Bootstrap,high,21,18,8
187,3M1FNDMP,ITET Notarangelo Rosati Giannone Masi,Pubbliche Amministrazioni,ok,Django,,,Bootstrap Italia,medium,14,3,5
189,3MR8D7NT,GORI S.P.A.,Gestori di Pubblici Servizi,ok,ASP.NET,jQuery,,Bootstrap,high,3,1,8
190,3NJRG27J,Wabes srl.,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,Elementor,high,25,22,42
191,3NSUJWLC,Gruppo di Azione Locale Gargano Agenzia di Sviluppo soc. cons. arl,Gestori di Pubblici Servizi,ok,WordPress,"Drupal,React,jQuery",WordPress,Elementor,high,58,49,76
194,3PQ9TZW5,VELLETRI SERVIZI SPA,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,,high,13,4,22
195,3PS17TYB,comune di misiliscemi,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,10,22,25
196,3RF8YLNL,ENIT S.P.A.,Stazioni Appaltanti,ok,,"React,Laravel,jQuery",,Bootstrap,low,12,7,17
197,3S94F5QD,ROCCA SERVIZI SRL,Gestori di Pubblici Servizi,error,,,,,low,0,0,0
198,3SBF3PUB,"ORDINE INTERPROVINCIALE DELLA PROFESSIONE SANITARIA DI FISIOTERAPISTA DI VENEZIA, PADOVA E ROVIGO",Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Elementor,high,25,25,44
199,3T9KJCT0,ISTITUTO COMPRENSIVO VALLE SERINA - SAN PELLEGRINO TERME,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,22,10,35
202,3VMLWXGX,ECO.LAN. S.P.A.,Gestori di Pubblici Servizi,ok,React,,,,high,2,1,5
204,3VZPQX9H,Azienda Speciale Multiservizi del Comune di Fossano,Gestori di Pubblici Servizi,ok,ASP.NET,,,Bootstrap,high,8,15,4
205,3WW5MNR3,"Istituto Comprensivo Statale ""Fornelli-Giovanni XXIII""",Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,17,5,28
206,3X3CPIT8,ASF Autolinee S.r.l.,Gestori di Pubblici Servizi,ok,WordPress,,WordPress,"Elementor,UIkit",high,76,87,10
207,3XIN54S7,Ambito Territoriale di Caccia n.1 - Potenza,Gestori di Pubblici Servizi,ok,WordPress,"React,jQuery",WordPress,,high,17,11,34
208,3XOF2207,Consorzio Gorgovivo,Gestori di Pubblici Servizi,ok,Joomla,"React,jQuery",Joomla,Bootstrap,high,7,11,14
210,3XXKMLQ8,COMMISSARIO STRAORDINARIO DEL GOVERNO DELLA ZES ADRIATICA INTERR. PUGLIA-MOLISE,Pubbliche Amministrazioni,error,,,,,low,0,0,0
212,3YOCS45V,AZIENDA SPECIALE PALAEXPO,Stazioni Appaltanti,ok,ASP.NET,jQuery,,Bootstrap,high,10,8,19
213,40B59AWR,COMUNE DI SOVIZZO,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,12,1,17
214,419QPJZE,ENDAS PIEMONTE ETS-APS,Gestori di Pubblici Servizi,ok,WordPress,jQuery,WordPress,,high,13,5,19
