_id,Codice_IPA,Denominazione_ente,Tipologia,homepage_status,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
2985,c_b521,Comune di Campobello di Mazara,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,23,7,11
2986,c_b522,Comune di Campochiaro,Pubbliche Amministrazioni,ok,WordPress,"React,jQuery",WordPress,Bootstrap Italia,high,23,5,31
2987,c_b524,Comune di Campodarsego,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,32,8,14
2988,c_b525,Comune di Campodenno,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,5,3,1
2989,c_b526,Comune di Campo di Giove,Pubbliche Amministrazioni,ok,Laravel,"React,WordPress,jQuery",,Bootstrap Italia,medium,5,3,16
2990,c_b527,Comune di Campodimele,Pubbliche Amministrazioni,ok,WordPress,"Liferay,jQuery",WordPress,Bootstrap Italia,high,21,11,10
2991,c_b528,Comune di Campodipietra,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,9,5,2
2992,c_b529,Comune di Campo di Trens,Pubbliche Amministrazioni,ok,ASP.NET,,,Bootstrap Italia,high,17,5,5
2993,c_b530,Comune di Campodolcino,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
2994,c_b531,Comune di Campodoro,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,11,1,7
2995,c_b532,Comune di Campofelice di Roccella,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,26,6,11
2996,c_b533,Comune di Campofelice di Fitalia,Pubbliche Amministrazioni,ok,WordPress,,WordPress,Bootstrap Italia,high,33,11,10
2997,c_b534,Comune di Campofilone,Pubbliche Amministrazioni,ok,,Laravel,,Bootstrap Italia,low,6,7,4
2998,c_b536,Comune di Campoformido,Pubbliche Amministrazioni,ok,,"React,jQuery",,Bootstrap Italia,low,9,2,5
2999,c_b537,Comune di Campofranco,Pubbliche Amministrazioni,ok,,,,Bootstrap Italia,low,6,5,2
3000,c_b538,Comune di Campo Ligure,Pubbliche Amministrazioni,ok,WordPress,jQuery,WordPress,Bootstrap Italia,high,19,12,11
