Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
c_m043,Comune di Villesse,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m048,Comune di Villorba,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_m085,Comune di Vito D'Asio,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m096,Comune di Vivaro,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m124,Comune di Voltago Agordino,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_m189,Comune di Zoppe' di Cadore,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_m265,Comune di Vajont,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m317,Comune di Rivignano Teor,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m346,Comune di Valvasone Arzene,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_m399,Comune di Treppo Ligosullo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
cbcar,Consorzio Boschi Carnici,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
cbimd,Consorzio dei Comuni del Bacino Imbrifero Montano della Drava,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
cbr,Consiglio di Bacino Rovigo,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
cbvi,Consiglio di Bacino Vicenza,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
cdcbimo,Consorzio Dei Comuni del Bacino Imbrifero Montano dell'Isonzo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
cm_alpa,Unione Montana Alpago,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
cm_vabo,Unione Montana della Valle del Boite,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
cm_valbe,Unione Montana Val Belluna,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
coselag,Consorzio di Sviluppo Economico Locale dell'Area Giuliana,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
csaapfs,Commissario Straordinario Attuazione Accordo di Programma 21-11-2014 Ferriera di Servola,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
edrg,Ente di Decentramento Regionale di Gorizia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
edrp,Ente di Decentramento Regionale di Pordenone,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
edrts,Ente di Decentramento Regionale di Trieste,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
edru,Ente di Decentramento Regionale di Udine,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
eripcfvg,Ente Regionale per Il Patrimonio Culturale della Regione Autonoma Friuli Venezia Giulia - Erpac,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
etpfvg,Ente tutela patrimonio ittico (ETPI),Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
f_756,Comune di Mortegliano,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
fdmda_,Fondazione Don Mozzatti D'Aprili,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
fesc,Fondazione Enzo e Silvio Chiari,Pubbliche Amministrazioni,Angular,React,,,medium,3,1,4
icbtc,Istituto Comprensivo Belluno 3,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
icmo_027,Istituto Comprensivo Statale Adele Zara,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
iiisd,Insiel - Informatica per Il Sistema Degli Enti Locali S.P.A.,Societa' in Conto Economico Consolidato,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
ipism_,Istituto Provinciale per Infanzia Santa Maria della Pieta,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
irric,Istituto Regionale Rittmeyer per I Ciechi,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
issmgp,Conservatorio Statale di Musica Giacomo Puccini di Gallarate,Pubbliche Amministrazioni,WordPress,"React,Angular,jQuery",WordPress,Elementor,high,55,37,84
