Codice_IPA,Denominazione_ente,Tipologia,framework_primario,framework_secondari,cms_primario,ui_frameworks,confidence,js_count,css_count,evidenze_count
c_g284,Comune di Palmanova,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g352,Comune di Pasian di Prato,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g353,Comune di Pasiano di Pordenone,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g381,Comune di Paularo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g389,Comune di Pavia di Udine,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g420,Comune di Pelago,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,3,3,11
c_g642,Comune di Pieve di Cadore,Pubbliche Amministrazioni,Angular,React,,,medium,15,9,12
c_g680,Comune di Pinzano al Tagliamento,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g743,Comune di Pocenia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g831,Comune di Pontebba,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g846,Comune di Ponte di Piave,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_g886,Comune di Porcia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g966,Comune di Pozzuolo del Friuli,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g969,Comune di Pradamano,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_g994,Comune di Prata di Pordenone,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h002,Comune di Prato Carnico,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h010,Comune di Pravisdomini,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h014,Comune di Precenicco,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h040,Comune di Prepotto,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h196,Comune di Ravascletto,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h200,Comune di Raveo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h222,Comune di Reggello,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,3,4,11
c_h242,Comune di Resia,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h244,Comune di Resiutta,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h327,Comune di Rivamonte Agordino,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_h512,Comune di Romano D'Ezzelino,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_h514,Comune di Romans d'Isonzo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h531,Comune di Ronchi dei Legionari,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h533,Comune di Ronchis,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h573,Comune di Rosolina,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_h620,Comune di Rovigo,Pubbliche Amministrazioni,Angular,"React,jQuery",,Bootstrap Italia,medium,10,0,11
c_h629,Comune di Ruda,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h657,Comune di Sacile,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h665,Comune di Sagrado,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h787,Comune di San Canzian d'Isonzo,Pubbliche Amministrazioni,Angular,"jQuery,React",,Bootstrap Italia,medium,9,2,17
c_h791,Comune di San Casciano in Val di Pesa,Pubbliche Amministrazioni,Drupal,"Angular,React,jQuery",Drupal,Bootstrap Italia,high,3,3,11
